Complex,logFC,AveExpr,t,P.Value,adj.P.Val,B,Lineage
Piccolo NuA4,-0.020101015897718733,0.7310030581752486,-0.44816786793058455,0.6541229535332139,0.6860313902909317,-6.774320917483218,B-Cell Acute Lymphoblastic Leukemia
RSF,0.16052809409481403,0.25863721200632345,3.571664088489384,3.7052439668490124e-4,0.0014484135506773411,-0.5942118736493311,B-Cell Acute Lymphoblastic Leukemia
SAGA,0.1507583476331018,0.3105263303613374,4.359834750257736,1.4273871658954472e-5,1.5344412033376056e-4,2.4557502631164283,B-Cell Acute Lymphoblastic Leukemia
SET1C/COMPASS,0.07647542152379709,0.589783839656728,2.1813477780653407,0.02937522204854077,0.05741520673123878,-4.522681130043569,B-Cell Acute Lymphoblastic Leukemia
SETDB1-ATF7IP/KAP1,0.21680267179595822,0.2953410291228548,4.282071445460797,2.0182344144602268e-5,1.735681596435795e-4,2.1287307276432657,B-Cell Acute Lymphoblastic Leukemia
SRCAP,0.018412178856603706,0.8039866308943082,0.6842106741044519,0.49399058211856706,0.574097163002659,-6.64199602380897,B-Cell Acute Lymphoblastic Leukemia
STAGA/TFTC,0.019349048264329264,0.252413731020777,0.9416316983464349,0.346594129605985,0.4383396345016869,-6.434867143138115,B-Cell Acute Lymphoblastic Leukemia
SUV39H1/2-HP1,0.017743213753700443,0.10173277260252934,1.1243767620873,0.2611058201789667,0.38715690578260586,-6.248086166406052,B-Cell Acute Lymphoblastic Leukemia
WICH / B-WICH,0.21955197790793496,0.3771652369105695,3.770280851357799,1.7199961339736124e-4,8.217759306762814e-4,0.11883219552652591,B-Cell Acute Lymphoblastic Leukemia
mSin3A/HDAC,0.043761252586889225,0.30224111428184264,2.3270030575815506,0.020151314314611632,0.04332532577641501,-4.199045319242915,B-Cell Acute Lymphoblastic Leukemia
