CellLine,Lineage
ACH-000549,Head and Neck Squamous Cell Carcinoma
ACH-000550,Melanoma
ACH-000551,Myeloproliferative Neoplasms
ACH-000552,Colorectal Adenocarcinoma
ACH-000554,Invasive Breast Carcinoma
ACH-000556,Cervical Squamous Cell Carcinoma
ACH-000557,Acute Myeloid Leukemia
ACH-000558,Diffuse Glioma
ACH-000559,Lung Neuroendocrine Tumor
ACH-000561,Esophageal Squamous Cell Carcinoma
ACH-000562,Non-Small Cell Lung Cancer
ACH-000563,Non-Small Cell Lung Cancer
ACH-000565,Colorectal Adenocarcinoma
ACH-000567,Mature B-Cell Neoplasms
ACH-000569,Pleural Mesothelioma
ACH-000570,Diffuse Glioma
ACH-000571,Diffuse Glioma
ACH-000573,Invasive Breast Carcinoma
ACH-000576,Mature B-Cell Neoplasms
ACH-000577,Hepatocellular Carcinoma
ACH-000579,Melanoma
ACH-000580,Melanoma
ACH-000581,Esophagogastric Adenocarcinoma
ACH-000583,Non-Hodgkin Lymphoma
ACH-000584,Ovarian Epithelial Tumor
ACH-000585,Non-Small Cell Lung Cancer
ACH-000587,Non-Small Cell Lung Cancer
ACH-000588,Mature B-Cell Neoplasms
ACH-000589,Non-Small Cell Lung Cancer
ACH-000591,Diffuse Glioma
ACH-000592,Diffuse Glioma
ACH-000593,Bladder Urothelial Carcinoma
ACH-000595,Diffuse Glioma
ACH-000596,Non-Small Cell Lung Cancer
ACH-000597,Rhabdoid Cancer
ACH-000599,Pancreatic Adenocarcinoma
ACH-000601,Pancreatic Adenocarcinoma
ACH-000602,Acute Myeloid Leukemia
ACH-000604,Myeloproliferative Neoplasms
ACH-000605,Esophageal Squamous Cell Carcinoma
ACH-000606,Head and Neck Squamous Cell Carcinoma
ACH-000607,Rhabdoid Cancer
ACH-000608,Ovarian Epithelial Tumor
ACH-000609,Diffuse Glioma
ACH-000614,Melanoma
ACH-000616,Esophagogastric Adenocarcinoma
ACH-000618,Head and Neck Squamous Cell Carcinoma
ACH-000619,Head and Neck Squamous Cell Carcinoma
ACH-000620,Hepatocellular Carcinoma
ACH-000621,Invasive Breast Carcinoma
ACH-000622,Diffuse Glioma
ACH-000623,Diffuse Glioma
ACH-000627,Non-Small Cell Lung Cancer
ACH-000630,Head and Neck Squamous Cell Carcinoma
ACH-000631,Diffuse Glioma
ACH-000632,Melanoma
ACH-000633,Esophagogastric Adenocarcinoma
ACH-000634,Diffuse Glioma
ACH-000637,Esophageal Squamous Cell Carcinoma
ACH-000638,Non-Small Cell Lung Cancer
ACH-000639,Lung Neuroendocrine Tumor
ACH-000645,Pleural Mesothelioma
ACH-000646,Ovarian Epithelial Tumor
ACH-000647,Esophageal Squamous Cell Carcinoma
ACH-000648,Pleural Mesothelioma
ACH-000649,Renal Cell Carcinoma
ACH-000651,Colorectal Adenocarcinoma
ACH-000652,Pancreatic Adenocarcinoma
ACH-000653,Mature B-Cell Neoplasms
ACH-000654,Non-Hodgkin Lymphoma
ACH-000655,Diffuse Glioma
ACH-000656,Mature B-Cell Neoplasms
ACH-000657,Ovarian Epithelial Tumor
ACH-000660,Mature B-Cell Neoplasms
ACH-000661,Melanoma
ACH-000662,Non-Small Cell Lung Cancer
ACH-000663,Ovarian Epithelial Tumor
ACH-000664,Mature T and NK Neoplasms
ACH-000665,Non-Small Cell Lung Cancer
ACH-000666,Non-Small Cell Lung Cancer
ACH-000667,Non-Small Cell Lung Cancer
ACH-000668,Invasive Breast Carcinoma
ACH-000672,Non-Small Cell Lung Cancer
ACH-000673,Diffuse Glioma
ACH-000676,Melanoma
ACH-000677,Non-Small Cell Lung Cancer
ACH-000681,Non-Small Cell Lung Cancer
ACH-000682,Head and Neck Squamous Cell Carcinoma
ACH-000683,Colorectal Adenocarcinoma
ACH-000684,Renal Cell Carcinoma
ACH-000688,Ovarian Epithelial Tumor
ACH-000693,Esophageal Squamous Cell Carcinoma
ACH-000694,Esophageal Squamous Cell Carcinoma
ACH-000695,Lung Neuroendocrine Tumor
ACH-000696,Ovarian Epithelial Tumor
ACH-000697,Mature B-Cell Neoplasms
ACH-000698,Lung Neuroendocrine Tumor
